family_id	headword	headword_original	headword_field	gloss	tags	source	etymology	records	formations	ancestral_forms	languages	bro	Kalk	Kund	OSh	Phal	Sh	Sv	Ush
30	*akṣadāruka	*akṣadāruka	Original	a partic. tree		CDIAL	"<number>30</number> <b>*akṣadāruka</b> 'a partic. tree'. [<smallcaps><a data-entry=""22"">akṣá-²</a>, <a data-entry=""6298"">dā́ru</a></smallcaps>-²]"	3	30	*akṣadāruka	Phal					ac̣hā́ru [pine; CDIAL; ] | aac̣háaru [a pine tree; liljegren; ] | âc̣hʹâru [fir; strand; dialect:Palula]			
43	ákṣi	ákṣi	Original	eye	n RV Early-Vedic	CDIAL;CDIAL	<number>43</number> <b>ákṣi</b> n. 'eye' RV.<!--addendum--><number>14195</number> <b>ákṣi-</b>	42	43	ákṣi	Kalk;Kund;Phal;Sh		ic̣ii [eye; kalkoti; dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29]	aś [eye; kund; ]		ac̣hi [eye; CDIAL; ] | īa [eye; CDIAL; ] | ac̣híi [eye; liljegren; ] | ac̣hʹî [eye; strand; dialect:Palula]	ac̣hī́ [eye; CDIAL; ] | aṣī́ [eye; CDIAL; dialect:Sh:pales:Palesi] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:Gupis:Gupis] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:punl:Puniali] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ɑˈč̣ʰi̱ [eye; backstrom1992; dialect:Sh:gil:Gilgit] | ɑˈṣ̌i [eye; backstrom1992; dialect:Sh:gil:Gilgit] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ɑ̱ˈṣ̌i [eye; backstrom1992; dialect:Sh:Bunji:Bunji] | ʌˈč̣i [eye; backstrom1992; dialect:Sh:Rondu:Rondu] | ʌč̣i [eye; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:Astor:Astor] | ʌˈč̣i [eye; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ʌˈč̣i [eye; backstrom1992; dialect:Sh:Satpara:Satpara] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:Gultari:Gultari] | ɑ̱ˈčʰi [eye; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ɑˈčʰe [eye; backstrom1992; dialect:Sh:dr:Dras] | ʌˈč̣i [eye; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ʌˈṣ̌i [eye; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ʌˈṣ̌i [eye; backstrom1992; dialect:Sh:Darel:Darel] | ɑˈč̣ʰi [eye; backstrom1992; dialect:Sh:Tangir:Tangir] | ʌˈč̣ʰi [eye; backstrom1992; dialect:Sh:Sazin:Sazin] | ʌˈṣ̌i [eye; backstrom1992; dialect:Sh:Harban:Harban] | ɑˈč̣i [eye; backstrom1992; dialect:Sh:Jalkot:Jalkot] | ɑč̣i [eye; backstrom1992; dialect:Sh:pales:Palesi] | ɑˈč̣i̱ [eye; backstrom1992; dialect:Sh:Kolai:Kolai] | ɑˈṣ̌i [eye; backstrom1992; dialect:Sh:Kolai:Kolai] | ac̣híi [eye; schmidt; dialect:Sh:gil:Gilgit] | ac̣híi [eye; schmidt; dialect:Sh:koh:Kohistani] | ac̣híi [eye; schmidt; dialect:Sh:gur:Guresi] | ac̣híi [eye; schmidt; dialect:Sh:Astor:Astor] | achíi [eye; buddruss-shina1996; dialect:Sh:gil:Gilgit]		
47	*akṣēma	*akṣēma	Original	unpeaceful		CDIAL	"<number>47</number> <b>*akṣēma</b> 'unpeaceful'. [<smallcaps><a data-entry=""3745"">kṣḗma</a></smallcaps>-]"	2	47	*akṣēma	Sh						ac̣hēmo [unruly, mischievous, malignant, dishonest; CDIAL; ] | ac̣héemo [evil, malicious; degener-shina2008; dialect:Sh:gil:Gilgit]		
48	akṣōṭa	akṣōṭa	Original	walnut (or pistacio nut ?); Aleurites triloba, Croton moluccanum; a mountain-tree <smallcaps>pīlú</smallcaps>-¹	m Kālid Suśr lex Classical	CDIAL;Morgenstierne;IIFL[i 412];CDIAL;BSOAS[20, 58];NIA;Varma BhalDial[23]	"<number>48</number> <b>akṣōṭa</b> m. 'walnut (or pistacio nut ?)' Kālid., 'Aleurites triloba, Croton moluccanum' Suśr., 'a mountain-tree <smallcaps><a data-entry=""8239"">pīlú</a></smallcaps>-¹', lex.; <i>akṣōḍa</i>-, <i>°aka</i>-, <i>ākṣōḍa</i>-, <i>ākhōṭa</i>- lex. — lw. in Ir. Ormuri <i>waṭk</i> &lt; <i>*akhōṭa</i>- Morgenstierne IIFL i 412.<!--addendum--><number>14197</number> <b>akṣōṭa</b> [Poss. ext. of <i>akṣa</i>- (<smallcaps><a data-entry=""22"">akṣa</a></smallcaps>-² 'seed of Elaeocarpus ganitrus') with suffix -<i>ṭa</i>- (as in <i>śarkōṭá</i>- 'scorpion' AV. Wackernagel-Debrunner Suffixes 514) beside Ir. <i>*axša-ra</i>- in Oss. <i>äxsärä</i> H. W. Bailey BSOAS 20, 58. NIA. forms with -<i>r</i>- may then be &lt; <i>*akṣarōṭṭa</i>- (cf. dimin. suffix -<i>uṭṭa</i>- in WPah. (e.g. Varma BhalDial 23). M. <i>akroḍ</i> (~ <i>akroṭ</i>) is X <i>akhoḍ</i> rather than &lt; <i>*akṣarōṭṭa</i>-]"	9	48	akṣōṭa	Phal;Sh					ac̣hṓṛ [the tree; CDIAL; ] | ac̣hū́ṛī [the tree; CDIAL; ] | ac̣hoóṛ [walnut; liljegren; ] | ac̣húuṛi [walnut tree; liljegren; ] | ac̣hôʹṛ [walnut; strand; dialect:Palula]	ac̣hṓ [walnut; CDIAL; ] | ac̣hói [the tree; CDIAL; ] | ac̣hóoi [walnut, walnut tree; degener-shina2008; dialect:Sh:gil:Gilgit] | achóo [walnut; buddruss-shina1996; dialect:Sh:gil:Gilgit]		
65	agniṣṭhá	agniṣṭhá	Original	fire-pan	m ĀpŚr Early-Vedic	CDIAL	"<number>65</number> <b>agniṣṭhá</b> m. 'fire-pan' ĀpŚr., <i>°ṭhā́</i>- f. 'that corner of the Yūpa towards the fire' ŚBr., <i>°ṭhikā</i>- f. 'fire-pan'. [<smallcaps><a data-entry=""55"">agní-¹</a>, stha</smallcaps>-]"	1	65	agniṣṭhá	Phal					aṅgúṭ; angúṭ [fireplace, chimney; fireplace; CDIAL;liljegren; ]			
100	aṅká	aṅká	Original	hook; hip where children are carried; curved line, mark, sign	m RV Br̥ĀrUp R Early-Vedic Epic	CDIAL	"<number>100</number> <b>aṅká</b> m. 'hook' RV., 'hip where children are carried' Br̥ĀrUp., 'curved line, mark, sign' R. [√<smallcaps><a data-entry=""r13"">añc</a></smallcaps>]"	3	100	aṅká	Phal					ā́ṅgu [sickle; CDIAL; ] | áangu [sickle; liljegren; ] | ʹângu [sickle; strand; dialect:Palula]			
125	áṅgāra	áṅgāra	Original	glowing charcoal	m RV Early-Vedic	CDIAL;CDIAL	<number>125</number> <b>áṅgāra</b> m. n. 'glowing charcoal' RV., <i>°aka</i>- lex. 2. <b>*iṅgāra-,</b> <i>iṅgāla</i>- m. Vāsav. com.<!--addendum--><number>14200</number> <b>áṅgāra-</b>	37	125	áṅgāra	Kund;Phal;Sh			aŋgār [fire; kund; ]		aṅgṓr [fire; CDIAL; ] | angóor [fire; liljegren; ] | angáar [fire; liljegren; dialect:Phal:biori:Biori] | angʹôr [fire; strand; dialect:Palula]	agā́r [fire; CDIAL; ] | hagā́r [fire; CDIAL; ] | hɑˈgɑr [fire; backstrom1992; dialect:Sh:Gupis:Gupis] | hɑˈgɑr̃ [fire; backstrom1992; dialect:Sh:punl:Puniali] | ɑˈgɑr̃ [fire; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ɑˈgɑr [fire; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ɑˈgɑr̃ [fire; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ʰɑˈgɑr [fire; backstrom1992; dialect:Sh:gil:Gilgit] | ɑˈgɑr [fire; backstrom1992; dialect:Sh:gil:Gilgit] | ɑˈgɑr̃ [fire; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ɑˈgɑr̃ [fire; backstrom1992; dialect:Sh:Bagrot:Bagrot] | hɑˈgɑr [fire; backstrom1992; dialect:Sh:Bunji:Bunji] | ɑˈgɑr [fire; backstrom1992; dialect:Sh:Bunji:Bunji] | ɑˈgɑr [fire; backstrom1992; dialect:Sh:Rondu:Rondu] | hʌgɑr [fire; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ɑˈgɑr̃o [fire; backstrom1992; dialect:Sh:Satpara:Satpara] | hʌˈgɑr̃ [fire; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ɑˈgɑr̃ [fire; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | hʌgɑr̃ [fire; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | hʌˈgɑr [fire; backstrom1992; dialect:Sh:Darel:Darel] | hʌˈgɑr̃ [fire; backstrom1992; dialect:Sh:Tangir:Tangir] | hʌˈgɑr [fire; backstrom1992; dialect:Sh:Sazin:Sazin] | hʌˈgɑr [fire; backstrom1992; dialect:Sh:Harban:Harban] | hɑˈgɑr [fire; backstrom1992; dialect:Sh:Jalkot:Jalkot] | hɑˈgɑr [fire; backstrom1992; dialect:Sh:pales:Palesi] | hɑˈgɑr [fire; backstrom1992; dialect:Sh:Kolai:Kolai] | agáar [fire; schmidt; dialect:Sh:gil:Gilgit] | hagáar [fire; schmidt; dialect:Sh:gil:Gilgit] | aṅgáaru [fire; schmidt; dialect:Sh:gur:Guresi] | hagáar [fire; degener-shina2008; dialect:Sh:gil:Gilgit] | hagáar [fire; buddruss-shina1996; dialect:Sh:gil:Gilgit] | agáar [fire; degener-shina2008; dialect:Sh:gil:Gilgit]		
126	aṅgāraka	aṅgāraka	Original	*red like embers; charcoal; name of various plants; the planet Mars	m	CDIAL	"<number>126</number> <b>aṅgāraka</b> '*red like embers', m. 'charcoal; name of various plants' (<i>aṅgārikā</i>- f. 'stalk of sugar-cane, flower of Butea frondosa'). 2. m. 'the planet Mars'. [<smallcaps><a data-entry=""125"">áṅgāra</a></smallcaps>-]"	2	126	aṅgāraka	Sh						aṅgáaro [Tuesday; schmidt; dialect:Sh:gil:Gilgit] | aṅgáaro [Tuesday; schmidt; dialect:Sh:Astor:Astor]		
131	aṅgāryā́	aṅgāryā́	Original	heap of embers		CDIAL	"<number>131</number> <b>aṅgāryā́-,</b> <i>*aṅgāriyā</i>-, f. 'heap of embers'. [Cf. <i>aṅgā- rīya</i>- 'fit for making charcoal', <i>aṅgārikā</i>- f., <i>angāritā</i>- f. 'portable fireplace' lex.: <smallcaps><a data-entry=""125"">áṅgāra</a></smallcaps>-]"	3	131	aṅgāryā́	Phal					aṅgerī́ [charcoal; CDIAL; ] | aṅgerī́ṣi [black charcoal; CDIAL; ] | angeerí [coal; liljegren; ]			
135	aṅgúli	aṅgúli	Original	finger, toe	f VS Early-Vedic	CDIAL;CDIAL	<number>135</number> <b>aṅgúli</b> f. 'finger, toe' VS., ŚBr., <i>aṅgúri</i>- f. AV., <i>svaṅgurí</i>- RV. 2. <b>*aṅgūḍi-</b> [2 &lt; <i>*aṅguẓ-ḍi</i>- with <i>*aṅguṣ</i>- in <i>aṅguṣ-ṭhá</i>-, cf. H. Frisk Suffixales -i&gt;th- im Indogermanischen 17.]<!--addendum--><number>14201</number> <b>aṅgúli-</b>	53	135;135-2x	*aṅgūḍi; aṅgúli	Kund;Phal;Sh			ɛŋgil [finger; kund; ]		aṅgúṛ [toe; CDIAL; ] | aṅgúṛi [finger; CDIAL; ] | ghān aṅgúṛu [thumb; CDIAL; ] | angúṛu [thumb; big toe; liljegren; ] | angʹuṛi [finger; strand; dialect:Palula]	agúi [finger; CDIAL; ] | haṅui [finger; CDIAL; dialect:Sh:koh:Kohistani] | háguṛi [first finger; CDIAL; dialect:Sh:jij:Jijelut] | hagúṛu [thumb; CDIAL; dialect:Sh:jij:Jijelut] | hɑˈgwi [finger; backstrom1992; dialect:Sh:Gupis:Gupis] | hɑˈgwi [finger; backstrom1992; dialect:Sh:punl:Puniali] | ɑˈgwi [finger; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ɑˈgui [finger; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | hɑˈgui [finger; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ɑˈgᵘi [finger; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | hɑˈgᵘi [finger; backstrom1992; dialect:Sh:gil:Gilgit] | ɑˈgᵘi [finger; backstrom1992; dialect:Sh:gil:Gilgit] | hɑˈgwi [finger; backstrom1992; dialect:Sh:Haramosh:Haramosh] | hɑˈwi [finger; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ɑˈgwi [finger; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ɑ̃ˈgwi [finger; backstrom1992; dialect:Sh:Bagrot:Bagrot] | hɑˈgᵘi [finger; backstrom1992; dialect:Sh:Bunji:Bunji] | ɑˈgʷi [finger; backstrom1992; dialect:Sh:Rondu:Rondu] | hɑˈgwi [finger; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | hɑˈgwi [finger; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ɑ̃ˈwi [finger; backstrom1992; dialect:Sh:Astor:Astor] | ɑ̃ŋˈwi [finger; backstrom1992; dialect:Sh:Astor:Astor] | ɑ̃ˈui [finger; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ɑ̃ŋˈʷi [finger; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ɑ̃ˈui [finger; backstrom1992; dialect:Sh:Satpara:Satpara] | ɑ̃ŋˈʷi [finger; backstrom1992; dialect:Sh:Satpara:Satpara] | ɑ̃ˈwĩ [finger; backstrom1992; dialect:Sh:Gultari:Gultari] | ɑˈŋᵘĩ [finger; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ɑˈŋʷi [finger; backstrom1992; dialect:Sh:dr:Dras] | hɑˈgwi [finger; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | hɑˈgwi [finger; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | hɑˈgui [finger; backstrom1992; dialect:Sh:Darel:Darel] | hɑˈguri [finger; backstrom1992; dialect:Sh:Darel:Darel] | hɑˈguli [finger; backstrom1992; dialect:Sh:Tangir:Tangir] | hɑˈguri [finger; backstrom1992; dialect:Sh:Tangir:Tangir] | hɑˈgwi [finger; backstrom1992; dialect:Sh:Sazin:Sazin] | hɑˈgwi [finger; backstrom1992; dialect:Sh:Harban:Harban] | hɑgˈwi [finger; backstrom1992; dialect:Sh:Jalkot:Jalkot] | hɑgwi [finger; backstrom1992; dialect:Sh:pales:Palesi] | hɑˈgwi [finger; backstrom1992; dialect:Sh:Kolai:Kolai] | haguí [finger; schmidt; dialect:Sh:gil:Gilgit] | hagwí [finger; schmidt; dialect:Sh:koh:Kohistani] | a~wíi~ [finger; schmidt; dialect:Sh:gur:Guresi] | aṅwíi~ [finger; schmidt; dialect:Sh:Astor:Astor] | hagúi [finger, toe; degener-shina2008; dialect:Sh:gil:Gilgit] | hagúi [finger; toe; buddruss-shina1996; dialect:Sh:gil:Gilgit] | agúi [finger, toe; degener-shina2008; dialect:Sh:gil:Gilgit]		
137	aṅguṣṭhá	aṅguṣṭhá	Original	thumb; big toe		CDIAL;CDIAL	<number>137</number> <b>aṅguṣṭhá-,</b> <i>°gú°</i> m. 'thumb' ĀśvGr̥., 'big toe' KātyŚr. [<i>aṅgu-ṣ-ṭhá</i>-, cf. <i>*aṅgu-ẓ-ḍi</i>- and <smallcaps>aṅgú-li</smallcaps>-]<!--addendum--><number>14202</number> <b>aṅguṣṭhá-</b>	8	137	aṅguṣṭhá	Sh;Sv						agúṭo [thumb, big toe; CDIAL; ] | agúto [thumb; schmidt; dialect:Sh:gil:Gilgit] | hagúu [thumb; schmidt; dialect:Sh:koh:Kohistani] | oṅúu~tu [thumb; schmidt; dialect:Sh:gur:Guresi] | aṅúu~to [thumb; schmidt; dialect:Sh:Astor:Astor] | hagúṭo [big toe, thumb; degener-shina2008; dialect:Sh:gil:Gilgit]	aṅguṭho [thumb; CDIAL; ] | ṭh [thumb; CDIAL; ]	
145	ajá	ajá	Original	goat	m	CDIAL	<number>145</number> <b>ajá</b> m. 'goat', <i>ajā́</i>- f. RV., <i>ajakā</i>-, -<i>ikā</i>- f. 'small or young goat' Pāṇ.	34	145	ajá	Sh;bro	ā [she-goat; CDIAL; ]					ai [goat; CDIAL; ] | ā [she-goat; CDIAL; ] | ˈɑɑi [goat; backstrom1992; dialect:Sh:Gupis:Gupis] | ˈʔɑɑi [goat; backstrom1992; dialect:Sh:punl:Puniali] | ˈʔɑi [goat; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ˈʔɑ̱i̱ [goat; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ʔɑi [goat; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ˈʔɑi [goat; backstrom1992; dialect:Sh:gil:Gilgit] | ʔɑi [goat; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ʔɑi [goat; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ˈʔɑ̱i̱ [goat; backstrom1992; dialect:Sh:Bunji:Bunji] | ɑi [goat; backstrom1992; dialect:Sh:Rondu:Rondu] | ɑi [goat; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ˈʔɑi̱ [goat; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ˈʔɑi̱ [goat; backstrom1992; dialect:Sh:Astor:Astor] | ɑi [goat; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ɑi [goat; backstrom1992; dialect:Sh:Satpara:Satpara] | ˈɑi̱ [goat; backstrom1992; dialect:Sh:Gultari:Gultari] | ɑi [goat; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ɑi [goat; backstrom1992; dialect:Sh:dr:Dras] | ɑi [goat; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ɑi [goat; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ɑi [goat; backstrom1992; dialect:Sh:Darel:Darel] | ɑi [goat; backstrom1992; dialect:Sh:Tangir:Tangir] | ɑi [goat; backstrom1992; dialect:Sh:Sazin:Sazin] | ɑi [goat; backstrom1992; dialect:Sh:Harban:Harban] | ˈʔɑi [goat; backstrom1992; dialect:Sh:Jalkot:Jalkot] | ʔɑi [goat; backstrom1992; dialect:Sh:pales:Palesi] | ʔɑi [goat; backstrom1992; dialect:Sh:Kolai:Kolai] | ái [goat (f.); schmidt; dialect:Sh:gil:Gilgit] | ái [goat (f.); schmidt; dialect:Sh:koh:Kohistani] | ái [goat (f.); schmidt; dialect:Sh:gur:Guresi] | ái [goat (f.); schmidt; dialect:Sh:Astor:Astor]		
163	*ajya	*ajya	Original	flock of goats		CDIAL;CDIAL;IEW[7];Brough Dhp[81];IEW[13];EVP[105];BSOAS[21, 539]	"<number>163</number> <b>*ajya</b> 'flock of goats'. [<smallcaps><a data-entry=""145"">ajá</a></smallcaps>-]<!--addendum--><number>14204</number> <b>*ajya</b> 'caprine'. [For suffix cf. Lith. <i>ožỹs</i> 'he-goat' &lt; <i>*āĝi̯os</i> IEW 7. — Sh. <i>ē̆</i> and P. <i>i</i> due to palatalizing effect of following <i>jj</i> (for this in NWPk. see Brough Dhp 81) rather than to derivation &lt; <i>*aiĝi̯o</i>- (IE. <i>*aiĝ</i>- in Gk. <i>αἴξ</i> and <i>*iĝ</i>- in Ir. words meaning only 'leather' IEW 13, EVP 105, H. W. Bailey BSOAS 21, 539). — <smallcaps><a data-entry=""145"">ajá</a></smallcaps>-]"	2	163	*ajya	Sh						ĕž [ewe; CDIAL; dialect:Sh:gil:Gilgit] | ēš [sheep; CDIAL; dialect:Sh:pales:Palesi]		
178	*aṭṭ	*aṭṭ	Original	contain, be contained, fit into		CDIAL	"<number>178</number> <b>*aṭṭ</b>¹ 'contain, be contained, fit into'. [Poss. &lt; <i><a data-entry=""1337"">ā́rta</a></i>-¹ '*brought', cf. <i>ā́-r̥ṇvati</i> 'brings, reaches, obtains' RV., despite <i>ă</i> of P.: √<smallcaps><a data-entry=""r597"">r̥</a></smallcaps>]"	4	178	*aṭṭ	Phal;Sh					aṭ; aṭ- [to send, bring; bring; CDIAL;NOPhal;strand; ] | aṭíi [to bring sth or sb; give birth; liljegren; ]	aṭoiki [to send, bring; CDIAL; ] | aṭ- [bring; degener-shina2008; dialect:Sh:gil:Gilgit]		
192	áṇu	áṇu	Original	the grain-plant Panicum miliaceum	VS Early-Vedic	CDIAL	"<number>192</number> <b>áṇu</b>¹ m. 'the grain-plant Panicum miliaceum' VS. [Same as <smallcaps><a data-entry=""193"">aṇu</a></smallcaps>-² ?]"	2	192	áṇu	Phal					ā́ṇu [millet; CDIAL; ] | ʹâṇu [kind of millet (sorghum?); strand; dialect:Palula]			
195	*aṇuni	*aṇuni	Original	millet		CDIAL;NTS[xii 156]	<number>195</number> <b>*aṇuni</b> 'millet'. [Cf. <i>áṇu</i>-¹ NTS xii 156]	1	195	*aṇuni	Sh						āno [Indian millet; CDIAL; ]		
218	*atiṣphāyatē	*atiṣphāyatē	Original	swells, is complete, arrives		CDIAL	"<number>218</number> <b>*atiṣphāyatē</b> 'swells, is complete, arrives'. [For semantic development cf. <smallcaps><a data-entry=""13831"">sphā́yatē</a>, <a data-entry=""7523"">*niṣphāyatē</a>, <a data-entry=""8342"">pūryatē</a>, <a data-entry=""8716"">prábhūta-</a>: √<a data-entry=""r661"">sphāy</a></smallcaps>]"	1	218	*atiṣphāyatē	Sh						ifayoiki [to arrive; CDIAL; ]		
227	átyēti	átyēti	Original	comes upon, goes by; enters	RV MBh Early-Vedic Epic	CDIAL;CDIAL	"<number>227</number> <b>átyēti</b> 'comes upon, goes by' RV., 'enters' MBh. 2. <b>*átiyēti.</b> [√<smallcaps><a data-entry=""r254"">i</a></smallcaps>²]<!--addendum--><number>14207</number> <b>átyēti</b>"	5	227	átyēti	Phal;Sh					áača [to enter; come inside; move into; liljegren; ] | áače [to enter; come inside; move into; liljegren; dialect:Phal:biori:Biori]	ačoiki [to enter, pierce; CDIAL; ] | ač- [enter, go in, penetrate; degener-shina2008; dialect:Sh:gil:Gilgit] | ač- [enter; go in; buddruss-shina1996; dialect:Sh:gil:Gilgit]		
242	adyá	adyá	Original	today		CDIAL;CDIAL	"<number>242</number> <b>adyá,</b> -<i>ā́</i> 'today' RV. [<smallcaps><a data-entry=""1"">a</a></smallcaps>-¹]<!--addendum--><number>14208</number> <b>adyá</b>"	36	242	adyá	Phal;Sh					āǰ [today; CDIAL; ] | aáǰ [today; liljegren; ] | aǰ [today; liljegren; dialect:Phal:biori:Biori] | âʹǰ [today; strand; dialect:Palula]	aš [today; CDIAL; ] | ʌ̱š [today; backstrom1992; dialect:Sh:Gupis:Gupis] | ʌ̱š [today; backstrom1992; dialect:Sh:punl:Puniali] | ˈɑčo̱ [today; backstrom1992; dialect:Sh:HunzaNasirabad:Hunza] | ˈɑču̱ [today; backstrom1992; dialect:Sh:NagarThol:Nagar%20%28Thol%29] | ˈɑ̱ču̱ [today; backstrom1992; dialect:Sh:NagarChalt:Nagar%20%28Chalt%29] | ɑš [today; backstrom1992; dialect:Sh:gil:Gilgit] | ɑ̱š [today; backstrom1992; dialect:Sh:Haramosh:Haramosh] | ɑ̱š [today; backstrom1992; dialect:Sh:Bagrot:Bagrot] | ʌ̱š [today; backstrom1992; dialect:Sh:Bunji:Bunji] | ʌš [today; backstrom1992; dialect:Sh:Rondu:Rondu] | ʌš [today; backstrom1992; dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29] | ʌ̱š [today; backstrom1992; dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29] | ʌ̱š; aš [today; backstrom1992;schmidt; dialect:Sh:Astor:Astor] | ʌš [today; backstrom1992; dialect:Sh:KachuraJel:Kachura] | ʌš [today; backstrom1992; dialect:Sh:Satpara:Satpara] | ʌ̱š [today; backstrom1992; dialect:Sh:Gultari:Gultari] | ɑ̱š [today; backstrom1992; dialect:Sh:Kharmang:Kharmang] | ɑš [today; backstrom1992; dialect:Sh:dr:Dras] | ʌš [today; backstrom1992; dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29] | ʌš [today; backstrom1992; dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29] | ɑ̱š [today; backstrom1992; dialect:Sh:Darel:Darel] | ʌš [today; backstrom1992; dialect:Sh:Tangir:Tangir] | ʌš [today; backstrom1992; dialect:Sh:Sazin:Sazin] | ʌš [today; backstrom1992; dialect:Sh:Harban:Harban] | ɑ̱š [today; backstrom1992; dialect:Sh:Jalkot:Jalkot] | ɑ̱š [today; backstrom1992; dialect:Sh:pales:Palesi] | ɑ̱š [today; backstrom1992; dialect:Sh:Kolai:Kolai] | aš [today; schmidt; dialect:Sh:gil:Gilgit] | aš [today; schmidt; dialect:Sh:koh:Kohistani] | aš [today; schmidt; dialect:Sh:gur:Guresi] | aš [today; degener-shina2008; dialect:Sh:gil:Gilgit]		
274	adhyadhi	adhyadhi	Original	on high	KātyŚr Early-Vedic	CDIAL	"<number>274</number> <b>adhyadhi</b> 'on high' KātyŚr. [<smallcaps><a data-entry=""249"">ádhi</a></smallcaps>]"	9	274	adhyadhi	Phal;Sh					-ǰʹe [up in; strand; dialect:Palula] | aǰʹa- [up (higher elevation); strand; dialect:Palula]	aže [upon, upwards; CDIAL; ] | ažīnu [upper; CDIAL; ] | ají [up(hill); schmidt; dialect:Sh:gil:Gilgit] | ají [up(hill); schmidt; dialect:Sh:koh:Kohistani] | ajá [up(hill); schmidt; dialect:Sh:gur:Guresi] | aǰí [above, upwards; degener-shina2008; dialect:Sh:gil:Gilgit] | ají [above; buddruss-shina1996; dialect:Sh:gil:Gilgit]		
